rank_composite,name,organizer,category_slug,official_url,grade_band,region_scope,cost,participation,entry_pathway,likely_recurrence,search_volume_score,coverage_score,deadline_proximity_score,notes
3.0,BEST Robotics,"BEST Robotics, Inc.",robotics,https://www.bestrobotics.org,6-12,national,free,team,school_or_chapter,annual,2,4,4,Free six-week robotics contest
3.0,MATE ROV Competition,Marine Advanced Technology Education,robotics,https://materovcompetition.org,6-12,national,paid,team,school_or_chapter,annual,2,4,4,Underwater ROV engineering
3.0,REC Foundation Aerial Drone Competition,REC Foundation,robotics,https://www.recf.org/aerial-drone-competition,6-12,national,paid,team,school_or_chapter,annual,2,4,4,Drone piloting + autonomous
3.0,The Concord Review,The Concord Review,writing-essay,https://www.tcr.org,9-12,national,paid,individual,individual,rolling,2,4,4,Publishes high-school history essays
3.0,VFW Patriot's Pen,Veterans of Foreign Wars,writing-essay,https://www.vfw.org/community/youth-and-education/youth-scholarships,6-8,national,free,individual,either,annual,2,4,4,Middle-school patriotic essay
3.0,VFW Voice of Democracy,Veterans of Foreign Wars,writing-essay,https://www.vfw.org/community/youth-and-education/youth-scholarships,9-12,national,free,individual,either,annual,2,4,4,Audio-essay patriotic scholarship
3.0,HiMCM (High School Mathematical Contest in Modeling),COMAP,math,https://www.contest.comap.org/highschool/contests/himcm/index.html,9-12,national,paid,team,school_or_chapter,annual,2,4,4,14-day team modeling contest; Nov; MidMCM sibling for 6-8
3.0,AAN Neuroscience Research Prize,American Academy of Neurology,science-engineering,https://www.aan.com/research/neuroscience-research-prize,9-12,national,free,individual,individual,annual,2,4,4,Original neuroscience research; winners present at AAN meeting
3.0,Florida Association of Mu Alpha Theta (FAMAT),FAMAT,math,https://famat.org,6-12,state,paid,both,school_or_chapter,annual,2,4,4,Florida statewide math circuit; regionals plus state convention
3.0,PerennialMath Competitions,PerennialMath,math,https://perennialmath.com,3-8,national,paid,both,either,annual,2,4,4,Subscription league; online onsite and virtual tournaments
3.0,Columbia Model UN Conference and Exposition (CMUNCE),Columbia International Relations Council and Association,debate-speech,https://cmunce.org,9-12,national,paid,team,school_or_chapter,annual,3,3,3,Crisis-committee focus; January; financial aid offered
3.0,Heart of Texas Invitational,St. Mark's School of Texas,debate-speech,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=35840,9-12,national,paid,team,school_or_chapter,annual,3,3,3,TOC bid tournament each October in Dallas
3.0,National Young Composers Challenge,Orlando Philharmonic / UCF,arts-music,https://www.youngcomposerschallenge.org,8-12,national,free,individual,individual,annual,2,4,4,Winning works read live at Composium; ages 13-18
3.0,One Teen Story Teen Writing Contest,One Story Inc.,writing-essay,https://one-story.com/write/one-teen-story-contest/,7-12,virtual,free,individual,individual,annual,3,3,3,2000-4500 word fiction; publication prize; ages 13-19
3.0,Helen Ruffin Reading Bowl,Georgia HRRB,academic-bowl,https://www.gahrrb.org,K-12,state,free,team,either,annual,2,4,4,Georgia flagship reading bowl; four grade divisions
2.9,MATHCOUNTS Countdown / Chapter,MATHCOUNTS Foundation,math,https://www.mathcounts.org/programs/mathcounts-competition-series,6-8,state,paid,team,school_or_chapter,annual,3,2,4,Chapter-level advancement round
2.9,mathleague.org contests,mathleague.org,math,https://www.mathleague.org/hsevents.php,3-12,national,paid,both,either,annual,2,3,5,Tournament circuit Oct-Mar; nationals May; distinct from Math League Press
2.9,NASA TechRise Student Challenge,NASA / Future Engineers,science-engineering,https://www.futureengineers.org/nasatechrise,6-12,national,free,team,school_or_chapter,annual,2,3,5,Winning experiments fly on high-altitude balloons; opens Sept
2.9,ESU National Shakespeare Competition,English-Speaking Union of the US,debate-speech,https://www.esuus.org/what-we-do/shakespeare-competition/,9-12,national,unknown,individual,school_or_chapter,annual,2,3,5,Monologue and sonnet performance; NYC finals
2.9,BMUN (Berkeley Model United Nations),UC Berkeley,debate-speech,https://www.bmun.org,9-12,national,paid,team,school_or_chapter,annual,2,3,5,Oldest collegiate-run MUN conference
2.9,The Paradigm Challenge,Project Paradigm,other,https://www.projectparadigm.org,K-12,virtual,free,both,either,annual,2,3,5,Ages 4-18; five project areas; May deadline
2.9,Girls' Adventures in Math (GAIM),Math-M-Addicts,math,https://www.girlsadventuresinmath.com/the-competition,3-8,virtual,unknown,team,either,annual,2,5,2,Online comic-themed team contest for girls
2.9,Minnesota State High School Mathematics League,MN State HS Mathematics League,math,https://www.mnmathleague.org,9-12,state,paid,both,school_or_chapter,annual,2,3,5,~170 schools; five meets Nov-Feb plus state tournament
2.9,Virginia Model United Nations (VAMUN),International Relations Organization at UVA,debate-speech,https://www.vamun.org,9-12,national,paid,team,either,annual,2,3,5,November; independent delegates allowed; early deadline Aug
2.9,Just Poetry National High School Poetry Contest,Live Poets Society of New Jersey,writing-essay,https://www.highschoolpoetrycontest.com,9-12,national,free,individual,individual,rolling,2,3,5,Quarterly awards; Poet of the Year $500
2.8,Academic WorldQuest,World Affairs Councils of America,academic-bowl,https://worldaffairscouncils.org/what-we-do/academic-worldquest,9-12,national,paid,team,school_or_chapter,annual,2,4,3,"Team quiz on world affairs, geography, history"
2.8,All American High School Film Festival,AAHSFF,arts-music,https://www.hsfilmfest.com,9-12,national,paid,both,individual,annual,2,4,3,"Student film festival, NYC"
2.8,Sphinx Competition (Junior Division),Sphinx Organization,arts-music,https://www.sphinxmusic.org/sphinx-competition,6-12,national,free,individual,individual,annual,2,4,3,"Black/Latinx string players, ages 17 & under"
2.8,High School Fed Challenge,Federal Reserve Bank of New York,business-entrepreneurship,https://www.newyorkfed.org/outreach-and-education/high-school/high-school-fed-challenge,9-12,national,free,team,school_or_chapter,annual,2,4,3,Monetary-policy team analysis
2.8,National Personal Finance Challenge,Council for Economic Education,business-entrepreneurship,https://www.councilforeconed.org/national-personal-finance-challenge,9-12,national,free,team,school_or_chapter,annual,2,4,3,Personal-finance team competition
2.8,Bebras Computing Challenge (US),Bebras / CSTA,computer-science,https://www.bebras.org,3-12,national,free,individual,school_or_chapter,annual,2,4,3,Computational-thinking challenge
2.8,Model Congress / YMCA Youth & Government,YMCA,debate-speech,https://www.ymca.org/what-we-do/youth-development/youth-and-government,6-12,national,paid,both,school_or_chapter,annual,2,4,3,State-legislature simulation
2.8,National Association for Urban Debate Leagues,NAUDL,debate-speech,https://urbandebate.org,6-12,national,free,both,school_or_chapter,annual,2,4,3,Urban public-school debate network
2.8,National High School Ethics Bowl,UNC Parr Center for Ethics,debate-speech,https://nhseb.unc.edu,9-12,national,free,team,school_or_chapter,annual,2,4,3,Collaborative ethics discussion contest
2.8,Bill of Rights Institute — MyImpact Challenge,Bill of Rights Institute,history-geography-civics,https://billofrightsinstitute.org/myimpact-challenge,9-12,national,free,individual,individual,annual,2,4,3,Civic-engagement project contest
2.8,National History Bee,International Academic Competitions,history-geography-civics,https://www.historybee.com,4-12,national,paid,individual,either,annual,2,4,3,Individual history buzzer contest
2.8,National History Bowl,International Academic Competitions,history-geography-civics,https://www.historybowl.com,6-12,national,paid,team,school_or_chapter,annual,2,4,3,Team history quiz tournament
2.8,The American Legion Oratorical Contest,The American Legion,history-geography-civics,https://www.legion.org/oratorical,9-12,national,free,individual,either,annual,2,4,3,Constitution-focused speech; scholarships
2.8,United States Geography Olympiad,International Academic Competitions,history-geography-civics,https://www.usgeographyolympiad.com,4-12,national,paid,individual,either,annual,2,4,3,Geography knowledge competition
2.8,We the People: The Citizen and the Constitution,Center for Civic Education,history-geography-civics,https://www.civiced.org/wtp-the-program,9-12,national,free,team,school_or_chapter,annual,2,4,3,Constitutional-knowledge hearings
2.8,The Actuarial Foundation Modeling the Future Challenge,The Actuarial Foundation,math,https://www.mtfchallenge.org,11-12,national,free,team,either,annual,2,4,3,Actuarial data-modeling challenge
2.8,Who Wants to Be a Mathematician,American Mathematical Society,math,https://www.ams.org/wwtbam,9-12,national,free,individual,school_or_chapter,annual,2,4,3,AMS game-show contest
2.8,Future Problem Solving Program International,FPSPI,other,https://www.fpspi.org,4-12,national,paid,both,school_or_chapter,annual,2,4,3,Structured problem-solving competition
2.8,National Invention Convention and Entrepreneurship (NICE),The STEMIE Coalition,other,https://www.nationalinventionconvention.org,K-12,national,free,individual,school_or_chapter,annual,2,4,3,Invention + entrepreneurship showcase
2.8,North South Foundation Bees (spelling/math/etc.),North South Foundation,other,https://www.northsouth.org,1-12,national,paid,individual,either,annual,2,4,3,Multi-subject academic bees
2.8,National Junior Science and Humanities Symposium (JSHS),JSHS / DoD,science-engineering,https://www.jshs.org,9-12,national,free,individual,school_or_chapter,annual,2,4,3,STEM research presentation; scholarships
2.8,National Ocean Sciences Bowl,Center for Ocean Leadership,science-engineering,https://oceanleadership.org/programs/national-ocean-sciences-bowl,9-12,national,free,team,school_or_chapter,annual,2,4,3,Marine-science quiz competition
2.8,USA Brain Bee,International Brain Bee (US chapters),science-engineering,https://www.thebrainbee.org,9-12,national,free,individual,either,annual,2,4,3,Neuroscience knowledge competition
2.8,You Be The Solution Challenge,Chemical Educational Foundation in STEM,science-engineering,https://www.cefinstem.org/programs/challenge,5-8,national,free,team,school_or_chapter,annual,2,4,3,Middle-school team STEM challenge (formerly You Be The Chemist)
2.8,Ayn Rand Institute Essay Contests (Atlas Shrugged / Anthem / Fountainhead),Ayn Rand Institute,writing-essay,https://www.aynrand.org/students/essay-contests,6-12,national,free,individual,individual,annual,2,4,3,Novel-based essay contests
2.8,NACLO (North American Computational Linguistics Open),NACLO consortium,computer-science,https://naclo.org,6-12,national,free,individual,either,annual,2,4,3,Linguistics puzzles; feeds International Linguistics Olympiad team
2.8,Apple Swift Student Challenge,Apple,computer-science,https://developer.apple.com/swift-student-challenge/,9-12,virtual,free,individual,individual,annual,3,3,2,Swift app playground submissions; winners visit Cupertino
2.8,KidWind Challenge,KidWind Project,science-engineering,https://www.kidwind.org,4-12,national,unknown,team,either,annual,2,4,3,Wind-turbine and solar design; in-person and online tiers
2.8,Pegasus National Mythology Exam,Excellence Through Classics,academic-bowl,https://www.etclassics.org/Contests-Exams/Pegasus-Mythology-Exam,3-8,national,paid,individual,either,annual,2,4,3,Multiple-choice mythology exam; homeschool-friendly
2.8,Medusa Mythology Exam,Excellence Through Classics,academic-bowl,https://www.etclassics.org/Contests-Exams/Medusa-Mythology-Exam,9-12,national,paid,individual,either,annual,2,4,3,High-school mythology companion to Pegasus
2.8,Optimist International Oratorical Contest,Optimist International,debate-speech,https://www.optimist.org/member/scholarships4.cfm,K-12,national,free,individual,school_or_chapter,annual,2,4,3,Club-to-championship speech ladder; scholarships
2.8,Stossel in the Classroom Essay Contest,Stossel in the Classroom,writing-essay,https://stosselintheclassroom.org/essay-contest/,5-12,national,free,individual,either,annual,2,4,3,Economics and policy essays; March deadline
2.8,World of 8 Billion Student Video Contest,Population Connection,history-geography-civics,https://www.worldof8billion.org/video-contest/,6-12,virtual,free,both,either,annual,2,4,3,One-minute videos on population-linked challenges
2.8,Federal Junior Duck Stamp Art Contest,U.S. Fish & Wildlife Service,arts-music,https://www.fws.gov/program/junior-duck-stamp,K-12,national,free,individual,either,annual,2,4,3,Waterfowl art; state contests feed national
2.8,Massachusetts Science & Engineering Fair,Massachusetts Science & Engineering Fair Inc.,science-engineering,https://scifair.com,6-12,state,unknown,both,either,annual,2,4,3,State HS fair each April; Worcester; zFairs registration
2.8,MITRE eCTF (Embedded Capture the Flag),MITRE,computer-science,https://ectf.mitre.org,9-12,virtual,free,team,either,annual,2,4,3,Semester-long embedded security attack/defend; HS teams welcome
2.8,Johns Hopkins Math Tournament (JHMT),Johns Hopkins University students,math,https://www.johnshopkinsmathtournament.com,6-12,regional,unknown,both,either,annual,3,3,2,Separate MS and HS divisions; April at Homewood
2.8,Washington Area Model UN Conference (WAMUNC),George Washington University International Affairs Society,debate-speech,https://www.wamunc.com,9-12,national,paid,team,school_or_chapter,annual,3,3,2,DC hotel conference each March
2.8,Worldwide Plays Festival,Writopia Lab,arts-music,https://www.writopialab.org/programs/specialty-programs/worldwide-plays-festival,1-12,national,free,individual,individual,annual,2,4,3,Winning plays produced Off-Broadway with professional actors
2.7,Blue Ocean Entrepreneurship Competition,Blue Ocean,business-entrepreneurship,https://blueoceancompetition.org,9-12,national,free,team,either,annual,2,3,4,Video-pitch entrepreneurship contest
2.7,CodeDay,CodeDay (Student Rnd),computer-science,https://www.codeday.org,9-12,national,free,both,individual,rolling,2,3,4,24-hour beginner hackathons in many cities
2.7,MIT Battlecode,MIT,computer-science,https://battlecode.org,9-12,national,free,team,either,annual,2,3,4,AI programming tournament; January
2.7,National Cyber League,Cyber Skyline,computer-science,https://nationalcyberleague.org,9-12,national,paid,both,either,annual,2,3,4,Cybersecurity skills competition
2.7,The Congressional Award,Congressional Award Foundation,history-geography-civics,https://www.congressionalaward.org,7-12,national,free,individual,individual,rolling,2,3,4,Congress's youth achievement award
2.7,USA Junior National Geographic / Slingshot Challenge,National Geographic Society,other,https://www.nationalgeographic.org/society/our-programs/slingshot-challenge,6-12,national,free,both,individual,annual,2,3,4,Short-video planet-solutions challenge
2.7,VEX AI Robotics Competition,REC Foundation,robotics,https://recfoundation.net/teams/competition/vex-ai-robotics-competition,9-12,national,paid,team,school_or_chapter,annual,2,3,4,Fully autonomous dual-robot competition
2.7,World Robot Olympiad USA,World Robot Olympiad Association,robotics,https://wro-association.org,6-12,national,paid,team,school_or_chapter,annual,2,3,4,Global themed robotics challenge
2.7,We the Students Essay Contest,Bill of Rights Institute,writing-essay,https://billofrightsinstitute.org/engage/students-programs-events/scholarship,9-12,national,free,individual,individual,annual,2,3,4,Founding-principles essay scholarship
2.7,STEM Racing USA (formerly F1 in Schools),STEM Racing USA,science-engineering,https://www.stemracing.us,4-12,national,paid,team,either,annual,2,3,4,Design and race miniature F1 cars; regionals->nationals->worlds
2.7,National Classical Etymology Exam,NJCL,academic-bowl,https://www.njcl.org/Online-Exams/National-Classical-Etymology,6-12,national,paid,individual,school_or_chapter,annual,1,4,5,Latin/Greek derivatives; fall exam
2.7,World Food Prize Global Youth Institute,World Food Prize Foundation,other,https://www.worldfoodprize.org/en/youth_programs/global_youth_institute/,8-12,national,free,individual,school_or_chapter,annual,2,3,4,Food-security research paper; Borlaug Scholar track
2.7,BruinMUN,Model United Nations at UCLA,debate-speech,https://www.bruinmun.org,9-12,regional,unknown,team,school_or_chapter,annual,2,3,4,2000-plus delegates; strong novice track; November
2.7,Apple Valley MinneApple Debate Tournament,Apple Valley High School,debate-speech,https://www.tabroom.com/index/tourn/index.mhtml?tourn_id=32065,9-12,national,paid,team,school_or_chapter,annual,2,3,4,TOC octos bids LD and PF; fall
2.7,United States Open Music Competition,USOMC,arts-music,https://www.usomc.org,K-12,regional,paid,both,individual,annual,2,3,4,Competitive Bay Area event; 40-plus piano events
2.7,MasterMinds,MasterMinds (NAQT-partnered leagues),academic-bowl,https://www.nymasterminds.com,9-12,state,paid,team,school_or_chapter,annual,2,3,4,Upstate NY leagues; 12-game season; June state final
2.6,AAPT PhysicsBowl,American Association of Physics Teachers,science-engineering,https://aapt.org/programs/physicsbowl/,9-12,national,paid,both,school_or_chapter,annual,2,4,2,40-question timed physics exam; school-proctored; March-April
2.6,National Japanese Exam,AATJ,academic-bowl,https://aatj.org/national-japanese-exam/,6-12,national,paid,individual,school_or_chapter,annual,1,5,3,Online ACTFL-aligned exam; spring window
2.6,National Bible Bee,National Bible Bee,academic-bowl,https://biblebee.org,K-12,national,unknown,individual,individual,annual,3,3,1,Ages 5-18; summer study; November nationals
2.6,ILMUNC (Ivy League Model United Nations Conference),University of Pennsylvania,debate-speech,https://www.ilmunc.org,9-12,national,paid,team,school_or_chapter,annual,2,2,5,Philadelphia conference; 28 committees
2.6,YMUN (Yale Model United Nations),Yale International Relations Association,debate-speech,https://www.ymun.org,9-12,national,paid,team,school_or_chapter,annual,3,3,1,1800 delegates; enrollment capped early
2.6,Yale Invitational,Yale Debate Association,debate-speech,https://www.yaledebate.org/tournaments,9-12,national,paid,both,school_or_chapter,annual,2,2,5,Major early-season national-circuit tournament; Sept
2.6,AMVETS Americanism Program,AMVETS,writing-essay,https://www.amvets.org/americanism,K-12,national,unknown,individual,either,annual,1,5,3,Flag drawing K-1; poster 2-5; essay 6-12
2.6,Texas Science & Engineering Fair (TXSEF),Texas A&M University,science-engineering,https://txsef.tamu.edu,6-12,state,unknown,both,school_or_chapter,annual,2,4,2,~1500 finalists; qualify via ISEF-affiliated regionals
2.6,Pennsylvania Junior Academy of Science (PJAS),Pennsylvania Junior Academy of Science,science-engineering,https://pjas.org,7-12,state,paid,individual,school_or_chapter,annual,2,4,2,Oral-presentation format; 12 regions; state meet at Penn State
2.6,Georgia Science & Engineering Fair (GSEF),UGA Center for Continuing Education,science-engineering,https://www.georgiacenter.uga.edu/youth-programs/pre-collegiate-competitions/georgia-science-and-engineering-fair,6-12,state,unknown,both,school_or_chapter,annual,2,4,2,78th annual; Athens; advance from regional fairs
2.6,Illinois Junior Academy of Science State Exposition,Illinois Junior Academy of Science,science-engineering,https://www.ijas.org,7-12,state,unknown,both,school_or_chapter,annual,2,4,2,Member schools enter via regions; April expo
2.6,State Science & Engineering Fair of Florida (SSEF),Florida Foundation for Future Scientists,science-engineering,https://ssefflorida.com,6-12,state,unknown,both,school_or_chapter,annual,2,4,2,71st annual; Lakeland; advance from regionals
2.6,Ohio Academy of Science State Science Day,The Ohio Academy of Science,science-engineering,https://ssd.ohiosci.org,5-12,state,unknown,individual,school_or_chapter,annual,2,4,2,Qualify via district/regional science days; OSU venue
2.6,Girls in Math at Yale,Yale Math Competitions,math,https://www.mmaths.org/girls-in-math,9-12,national,unknown,both,either,annual,2,4,2,For girls and gender minorities; runs alongside MMATHS
2.6,UGA High School Math Tournament,University of Georgia Department of Mathematics,math,https://math.uga.edu/uga-high-school-math-tournament,9-12,regional,paid,both,school_or_chapter,annual,2,2,5,Written plus ciphering plus team rounds; October
2.6,MIT Model United Nations Conference (MITMUNC),MIT students,debate-speech,https://mitmunc.org,9-12,national,unknown,team,school_or_chapter,annual,3,3,1,Small-committee focus; February at MIT
2.6,Young Playwrights Festival,The Blank Theatre,arts-music,https://www.theblank.com/ypf,4-12,national,free,individual,individual,annual,2,4,2,12 winners get full LA productions; ages 9-19
2.6,New Voices One-Act Competition,YouthPLAYS,arts-music,https://www.youthplays.com/new_voices.php,6-12,virtual,free,individual,individual,annual,2,4,2,Winner published plus cash; submissions Jan-May
2.6,American Legion Auxiliary Americanism Essay Contest,American Legion Auxiliary,writing-essay,https://www.legion-aux.org/americanism-essay-contest,3-12,national,free,individual,either,annual,2,4,2,Patriotic theme; six grade classes plus special-needs class
2.5,Academic Games Leagues of America (AGLOA),AGLOA,academic-bowl,https://agloa.org,4-12,national,paid,both,school_or_chapter,annual,2,3,3,Strategy/knowledge games nationals
2.5,Certamen (National Junior Classical League),NJCL,academic-bowl,https://www.njcl.org,6-12,national,paid,team,school_or_chapter,annual,2,3,3,Latin/classics quiz bowl
2.5,It's Academic,It's Academic / WJLA,academic-bowl,https://www.itsacademictv.com,9-12,regional,free,team,school_or_chapter,annual,2,3,3,Televised regional quiz show
2.5,Kentucky Governor's Cup,Kentucky Association for Academic Competition,academic-bowl,https://kaac.com/governors-cup,4-12,state,paid,both,school_or_chapter,annual,2,3,3,Quick-recall + written; statewide series
2.5,NAQT Small School National Championship (SSNCT),National Academic Quiz Tournaments,academic-bowl,https://www.naqt.com/ssnct,9-12,national,paid,team,school_or_chapter,annual,2,3,3,National championship for small high schools
2.5,National All-Star Academic Tournament (NASAT),International Quiz Bowl Tournaments,academic-bowl,https://iqbtnasat.com,9-12,national,paid,team,either,annual,2,3,3,State all-star high-school quiz bowl
2.5,Scholastic Bowl (IHSA state series),state associations,academic-bowl,https://www.ihsa.org,9-12,state,paid,team,school_or_chapter,annual,2,3,3,State-run quiz bowl series
2.5,United States Academic Pentathlon,USAD,academic-bowl,https://www.usad.org/USAP,6-9,national,paid,team,school_or_chapter,annual,2,3,3,Middle-school five-event contest
2.5,WordMasters Challenge,WordMasters,academic-bowl,https://www.wordmasterschallenge.com,3-8,national,paid,individual,school_or_chapter,annual,2,3,3,Vocabulary/analogy competition
2.5,ASTA National Orchestra Festival,American String Teachers Association,arts-music,https://www.astastrings.org,6-12,national,paid,team,school_or_chapter,annual,2,3,3,School-orchestra festival/competition
2.5,DownBeat Student Music Awards,DownBeat Magazine,arts-music,https://downbeat.com/sma,6-12,national,paid,both,either,annual,2,3,3,Jazz performance/composition; MS+HS divisions
2.5,Fischoff Junior Division,Fischoff National Chamber Music Association,arts-music,https://www.fischoff.org,6-12,national,paid,team,either,annual,2,3,3,"Chamber ensembles, players 18 & under"
2.5,From the Top (young musicians showcase),From the Top,arts-music,https://www.fromthetop.org,8-12,national,free,individual,individual,rolling,2,3,3,Classical young-musician showcase
2.5,Lions International Peace Poster Contest,Lions Clubs International,arts-music,https://www.lionsclubs.org/en/resources-for-members/resource-center/peace-poster-contest,6-8,national,free,individual,school_or_chapter,annual,2,3,3,Ages 11-13 peace-themed poster; club-sponsored
2.5,MTNA Composition Competition,MTNA,arts-music,https://www.mtna.org/competitions,5-12,national,paid,individual,individual,annual,2,3,3,Student composition competition
2.5,NATS National Student Auditions,National Association of Teachers of Singing,arts-music,https://www.nats.org/national_student_auditions.html,9-12,national,paid,individual,individual,annual,2,3,3,Solo voice; region-to-national
2.5,National Film Festival for Talented Youth (NFFTY),NFFTY,arts-music,https://www.nffty.org,K-12,national,paid,both,individual,annual,2,3,3,"Youth film festival, Seattle"
2.5,The Music Center's Spotlight,The Music Center (LA),arts-music,https://www.musiccenter.org/education/spotlight,9-12,state,free,individual,individual,annual,2,3,3,Performing-arts scholarship program
2.5,Toyota Dream Car Art Contest (USA),Toyota,arts-music,https://www.toyota.com/usa/dreamcar,K-11,national,free,individual,either,annual,2,3,3,Car-themed art contest by age
2.5,Vans Custom Culture,Vans,arts-music,https://www.vans.com/en-us/custom-culture,9-12,national,free,team,school_or_chapter,annual,2,3,3,Shoe-design art competition
2.5,InvestWrite,SIFMA Foundation,business-entrepreneurship,https://www.stockmarketgame.org/investwrite.html,4-12,national,free,individual,school_or_chapter,annual,2,3,3,Investing essay contest
2.5,JA Company of the Year,Junior Achievement USA,business-entrepreneurship,https://jausa.ja.org,9-12,national,free,team,school_or_chapter,annual,2,3,3,Student-run company competition
2.5,LaunchX / Launch High School,LaunchX,business-entrepreneurship,https://launchx.com,9-12,national,paid,team,either,annual,2,3,3,Entrepreneurship program + competition
2.5,NFTE National Youth Entrepreneurship Challenge,Network for Teaching Entrepreneurship,business-entrepreneurship,https://www.nfte.com,9-12,national,free,individual,school_or_chapter,annual,2,3,3,Business-plan pitch competition
2.5,VEI (Virtual Enterprises) Youth Business Summit,Virtual Enterprises International,business-entrepreneurship,https://veinternational.org,9-12,national,paid,team,school_or_chapter,annual,2,3,3,Simulated-company business competition
2.5,Young Entrepreneurs Academy Saunders Scholars,Young Entrepreneurs Academy,business-entrepreneurship,https://yeausa.org/about/saunders-scholars,6-12,national,unknown,both,school_or_chapter,annual,2,3,3,Ages 11-18; national pitch finals at RIT
2.5,Codequest (Lockheed Martin),Lockheed Martin,computer-science,https://www.lockheedmartin.com/codequest,9-12,regional,free,team,school_or_chapter,annual,2,3,3,Team programming competition
2.5,Cyber FastTrack / National Cyber Scholarship,SANS Institute,computer-science,https://www.nationalcyberscholarship.org,9-12,national,free,individual,individual,annual,2,3,3,Cyber aptitude competition + scholarship
2.5,Cyberstart America,SANS / National Cyber Scholarship Foundation,computer-science,https://www.cyberstartamerica.org,9-12,national,free,individual,individual,annual,2,3,3,Gamified cybersecurity challenge
2.5,Games for Change Student Challenge,Games for Change,computer-science,https://www.gamesforchange.org/studentchallenge,5-12,national,free,both,school_or_chapter,annual,2,3,3,Youth game-design challenge
2.5,HP CodeWars,HP,computer-science,https://www.hp.com/codewars,9-12,regional,free,team,school_or_chapter,annual,2,3,3,Regional programming contest
2.5,HPE CodeWars,Hewlett Packard Enterprise,computer-science,https://hpecodewars.org,8-12,regional,free,team,school_or_chapter,annual,2,3,3,Timed team coding contest
2.5,Microsoft Imagine Cup Junior,Microsoft,computer-science,https://imaginecup.microsoft.com,9-12,national,free,team,school_or_chapter,annual,2,3,3,AI/tech ideation challenge
2.5,National STEM League / CoderZ League,CoderZ (Intelitek),computer-science,https://gocoderz.com,5-12,national,paid,team,school_or_chapter,annual,2,3,3,Virtual robotics/coding league
2.5,Verizon Innovative Learning App Challenge,Verizon / DiscoverE,computer-science,https://appchallenge.tsaweb.org,6-8,national,free,team,school_or_chapter,annual,2,3,3,Middle-school app-concept challenge
2.5,Barkley Forum (Emory),Emory University,debate-speech,https://www.barkleyforum.com,9-12,national,paid,both,school_or_chapter,annual,2,3,3,Prestigious national invitational
2.5,Big Questions Debate,National Speech & Debate Association,debate-speech,https://www.speechanddebate.org,9-12,national,free,both,school_or_chapter,annual,2,3,3,Philosophy/science debate; cash awards
2.5,California Invitational (Berkeley),UC Berkeley,debate-speech,https://www.calnationals.org,9-12,national,paid,both,school_or_chapter,annual,2,3,3,Large West-coast invitational
2.5,Debate: National Catholic Forensic League Grand Nationals,NCFL,debate-speech,https://www.ncfl.org,9-12,national,paid,both,school_or_chapter,annual,2,3,3,Catholic-league national tournament
2.5,Glenbrooks Speech and Debate Tournament,Glenbrook North/South HS,debate-speech,https://www.glenbrooks.com,9-12,national,paid,both,school_or_chapter,annual,2,3,3,Major Midwest invitational
2.5,Harvard Model Congress,Harvard University,debate-speech,https://www.harvardmodelcongress.org,9-12,national,paid,both,school_or_chapter,annual,2,3,3,Government simulation conference
2.5,National Christian Forensics and Communications Association (NCFCA),NCFCA,debate-speech,https://www.ncfca.org,6-12,national,paid,both,school_or_chapter,annual,2,3,3,Homeschool speech/debate league
2.5,National Junior Forensic League Championship,National Speech & Debate Association,debate-speech,https://www.speechanddebate.org,6-8,national,paid,both,school_or_chapter,annual,2,3,3,Middle-school speech/debate nationals
2.5,North American Invitational Model UN (NAIMUN),Georgetown International Relations Association,debate-speech,https://naimun.modelun.org,9-12,national,paid,team,school_or_chapter,annual,2,3,3,"Largest student-run high-school MUN, DC"
2.5,Stoa USA Speech & Debate,Stoa USA,debate-speech,https://www.stoausa.org,6-12,national,paid,both,school_or_chapter,annual,2,3,3,Christian homeschool league
2.5,World Schools Debate (US),National Speech & Debate Association,debate-speech,https://www.speechanddebate.org,9-12,national,paid,team,school_or_chapter,annual,2,3,3,Team format used at Worlds
2.5,YMCA Conference on National Affairs,YMCA,debate-speech,https://ymcacona.org,9-12,national,paid,team,school_or_chapter,annual,2,3,3,"National affairs conference, Blue Ridge NC"
2.5,Center for Civic Education / Project Citizen,Center for Civic Education,history-geography-civics,https://www.civiced.org/project-citizen,6-12,national,free,team,school_or_chapter,annual,2,3,3,Public-policy portfolio project
2.5,Prudential Emerging Visionaries (civic),Prudential / Ashoka,history-geography-civics,https://www.prudential.com/links/about/prudential-emerging-visionaries,9-12,national,free,individual,individual,annual,2,3,3,Civic/financial-impact awards
2.5,United States Senate Youth Program,Hearst Foundations,history-geography-civics,https://ussenateyouth.org,11-12,national,free,individual,school_or_chapter,annual,2,3,3,Government leadership scholarship
2.5,Bay Area Mathematical Olympiad (BAMO),MSRI/SLMath,math,https://www.bamo.org,8-12,regional,free,individual,school_or_chapter,annual,2,3,3,Regional proof olympiad
2.5,Caltech Harvey Mudd Math Competition (CHMMC),Caltech / Harvey Mudd,math,https://chmmc.caltech.edu,9-12,national,paid,team,school_or_chapter,annual,2,3,3,University invitational
2.5,Duke Math Meet (DMM),Duke University Mathematics Union,math,https://dukemathmeet.org,9-12,regional,paid,team,school_or_chapter,annual,2,3,3,Fall tournament at Duke; teams of six
